event_id;event_name
\mod_bigyellowbuttonbn\event\bigyellowbuttonbn_activity_management_viewed;BigyellowbuttonBN activity management viewed
\mod_bigyellowbuttonbn\event\live_session_event;В прямом эфире
\mod_bigyellowbuttonbn\event\meeting_created;Собрание BigYellowButton создано
\mod_bigyellowbuttonbn\event\meeting_ended;Собрание BigYellowButton принудительно завершено
\mod_bigyellowbuttonbn\event\meeting_joined;Пользователь присоединился к собранию BigYellowButton
\mod_bigyellowbuttonbn\event\meeting_left;Пользователь покинул собрание BigYellowButton
\mod_bigyellowbuttonbn\event\recording_deleted;Запись собрания BigYellowButton удалена
\mod_bigyellowbuttonbn\event\recording_edited;Запись изменена
\mod_bigyellowbuttonbn\event\recording_imported;Запись импортирована
\mod_bigyellowbuttonbn\event\recording_protected;Запись защищена
\mod_bigyellowbuttonbn\event\recording_published;Запись собрания BigYellowButton опубликована
\mod_bigyellowbuttonbn\event\recording_unprotected;Запись не защищена
\mod_bigyellowbuttonbn\event\recording_unpublished;Отменена публикация записи собрания BigYellowButton
\mod_bigyellowbuttonbn\event\recording_viewed;Запись просмотрена
\mod_book\event\chapter_created;Глава создана
\mod_book\event\chapter_deleted;Глава удалена
\mod_book\event\chapter_updated;Глава обновлена
\mod_book\event\chapter_viewed;Глава просмотрена
\mod_book\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_book\event\course_module_viewed;Модуль курса просмотрен
\mod_chat\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_chat\event\course_module_viewed;Модуль курса просмотрен
\mod_chat\event\message_sent;Отправлено сообщение
\mod_chat\event\sessions_viewed;Сессии просмотрены
\mod_choice\event\answer_created;Ответ на опрос добавлен
\mod_choice\event\answer_deleted;Ответ на опрос удален
\mod_choice\event\answer_submitted;Выбор сделан (больше не используется)
\mod_choice\event\answer_updated;Выбор обновлен (больше не используется)
\mod_choice\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_choice\event\course_module_viewed;Модуль курса просмотрен
\mod_choice\event\report_downloaded;Скачан отчет по опросу
\mod_choice\event\report_viewed;Отчет о выбранных вариантах просмотрен
\mod_choicegroup\event\choice_removed;Выбор удален
\mod_choicegroup\event\choice_updated;Выбор сделан
\mod_choicegroup\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_choicegroup\event\course_module_viewed;Модуль курса просмотрен
\mod_choicegroup\event\report_viewed;Отчет просмотрен
\mod_data\event\comment_created;Комментарий создан
\mod_data\event\comment_deleted;Комментарий удален
\mod_data\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_data\event\course_module_viewed;Модуль курса просмотрен
\mod_data\event\field_created;Поле создано
\mod_data\event\field_deleted;Поле удалено
\mod_data\event\field_updated;Поле обновлено
\mod_data\event\record_created;Запись создана
\mod_data\event\record_deleted;Запись удалена
\mod_data\event\record_updated;Запись обновлена
\mod_data\event\template_updated;Шаблон обновлен
